Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
29/12/2023,2081.4,2087.2,2087.2,2080.8,0.06K,-0.56%
28/12/2023,2093.1,2109.1,2118,2094.6,8.11K,0.00%
27/12/2023,2093.1,2079.3,2095.8,2072.8,128.18K,1.13%
26/12/2023,2069.8,2066,2080.5,2065.1,79.57K,0.03%
22/12/2023,2069.1,2061.2,2083,2058.2,170.15K,0.87%
21/12/2023,2051.3,2044.4,2058,2043.3,119.95K,0.18%
20/12/2023,2047.7,2053.8,2056.9,2040.6,122.57K,-0.21%
19/12/2023,2052.1,2041.1,2061,2034.8,134.78K,0.57%
18/12/2023,2040.5,2033.3,2048,2029.5,141.41K,0.24%
15/12/2023,2035.7,2051.3,2059.6,2029.2,172.15K,-0.45%
14/12/2023,2044.9,2043.2,2062.9,2039.1,231.10K,2.38%
13/12/2023,1997.3,1995.1,2043.3,1987.9,192.68K,0.21%
12/12/2023,1993.2,1997.8,2012.5,1992.3,148.53K,-0.03%
11/12/2023,1993.7,2020,2023.7,1991.2,160.07K,-1.03%
08/12/2023,2014.5,2045.7,2050.4,2010.6,237.29K,-1.56%
07/12/2023,2046.4,2043.4,2057.2,2036.6,173.98K,-0.07%
06/12/2023,2047.9,2037.8,2053.4,2035.3,154.22K,0.57%
05/12/2023,2036.3,2049,2059.6,2027.6,209.55K,-0.29%
04/12/2023,2042.2,2094.4,2152.3,2038.4,378.22K,-2.27%
01/12/2023,2089.7,2056.5,2095.7,2052.6,241.62K,1.58%
30/11/2023,2057.2,2065.4,2067.4,2051.2,151.92K,-0.48%
29/11/2023,2067.1,2062,2072.7,2055.9,197.79K,0.81%
28/11/2023,2050.5,2025,2054.4,2022.9,1.86K,1.35%
27/11/2023,2023.1,2012.9,2027.5,2012.7,1.06K,0.47%
24/11/2023,2013.7,2002.5,2014.1,2002,0.52K,0.53%
23/11/2023,2003,1991.2,2004.5,1990.9,214.88K,-0.02%
22/11/2023,2003.4,2010.4,2015,1999.8,0.67K,-0.43%
21/11/2023,2012,1994.1,2019.5,1993.2,0.67K,1.07%
20/11/2023,1990.7,1997.9,1997.9,1978.1,0.31K,-0.22%
17/11/2023,1995.1,1994.7,2004.6,1992.8,0.04K,-0.13%
16/11/2023,1997.7,1971.5,1999.7,1971.3,0.18K,1.16%
15/11/2023,1974.7,1977.2,1989.5,1971.5,0.12K,-0.12%
14/11/2023,1977,1960.3,1983.9,1960.3,0.12K,0.84%
13/11/2023,1960.6,1954.8,1961.5,1949.1,1.38K,0.65%
10/11/2023,1948,1971.1,1971.1,1948,0.76K,-1.63%
09/11/2023,1980.3,1965,1979.6,1964.3,0.26K,0.61%
08/11/2023,1968.3,1984.6,1984.6,1965.8,0.21K,-0.80%
07/11/2023,1984.1,1989.4,1989.4,1978.4,0.73K,-0.76%
06/11/2023,1999.3,2001.9,2006,1995.8,0.77K,-0.52%
03/11/2023,2009.7,2017.4,2017.4,2010.5,0.02K,0.29%
02/11/2023,2003.9,2005,2005,2000.4,0.04K,0.31%
01/11/2023,1997.8,2004.8,2004.8,1997,0.00K,-0.34%
31/10/2023,2004.6,2009.8,2009.8,2002.3,0.01K,-0.52%
30/10/2023,2015,2034,2036.9,2020.1,7.63K,0.83%
27/10/2023,1998.5,1995,2019.7,1986.4,213.76K,0.06%
26/10/2023,1997.4,1991.2,2003.7,1981.6,214.05K,0.13%
25/10/2023,1994.9,1982.7,1998.6,1973.6,240.66K,0.44%
24/10/2023,1986.1,1984.1,1992,1964.6,200.94K,-0.09%
23/10/2023,1987.8,1987.7,1994.3,1971,212.29K,-0.33%
20/10/2023,1994.4,1988,2009.2,1983.7,289.11K,0.70%
19/10/2023,1980.5,1960.1,1990.2,1957,264.82K,0.62%
18/10/2023,1968.3,1936.7,1975.8,1935.9,270.05K,1.68%
17/10/2023,1935.7,1933.3,1944.5,1924.6,165.06K,0.07%
16/10/2023,1934.3,1941.3,1943,1921.2,182.82K,-0.37%
13/10/2023,1941.5,1881.7,1946.2,1881.5,312.99K,3.11%
12/10/2023,1883,1888.1,1898.3,1880.6,163.48K,-0.23%
11/10/2023,1887.3,1873.7,1890.9,1871.7,169.96K,0.64%
10/10/2023,1875.3,1875.4,1879.1,1866.1,157.34K,0.59%
09/10/2023,1864.3,1861,1877.3,1857.5,187.80K,1.04%
06/10/2023,1845.2,1834.3,1849,1823.5,231.02K,0.73%
05/10/2023,1831.8,1837.6,1843.5,1826.2,172.46K,-0.16%
04/10/2023,1834.8,1838.7,1846.8,1831.6,195.05K,-0.36%
03/10/2023,1841.5,1844.9,1849.3,1830.9,216.78K,-0.31%
02/10/2023,1847.2,1864.4,1864.7,1842.7,202.15K,-1.01%
29/09/2023,1866.1,1882.3,1896.7,1862.3,245.13K,-0.67%
28/09/2023,1878.6,1893.3,1896.8,1874.5,231.42K,-0.16%
27/09/2023,1881.7,1910.7,1912.2,1881.7,0.41K,-1.52%
26/09/2023,1910.7,1925.8,1925.8,1908.5,0.36K,-0.87%
25/09/2023,1927.4,1936.1,1937.1,1925.5,0.26K,-0.46%
22/09/2023,1936.3,1933.4,1939,1933.4,0.14K,0.31%
21/09/2023,1930.4,1935.4,1939.2,1924.8,0.15K,-1.41%
20/09/2023,1958,1941.3,1959.4,1941.3,0.56K,0.69%
19/09/2023,1944.5,1944.7,1948.4,1942.7,0.11K,0.01%
18/09/2023,1944.3,1938.3,1943.6,1938.3,0.01K,0.38%
15/09/2023,1937,1928.6,1940.9,1928.6,0.09K,0.69%
14/09/2023,1923.7,1915.2,1924,1914.7,0.02K,0.01%
13/09/2023,1923.5,1923,1925.4,1921.8,0.00K,-0.13%
12/09/2023,1926.1,1938.2,1938.2,1924,0.02K,-0.62%
11/09/2023,1938.2,1937.2,1938.5,1937.2,0.01K,0.23%
08/09/2023,1933.7,1940,1943.5,1936,0.01K,0.02%
07/09/2023,1933.3,1933.6,1938,1932.9,0.01K,-0.09%
06/09/2023,1935,1932.1,1932.8,1931.5,0.01K,-0.44%
05/09/2023,1943.5,1961.8,1961.8,1943.4,0.01K,-0.47%
04/09/2023,1952.6,1966.7,1972.6,1950.6,192.79K,-0.27%
01/09/2023,1957.8,1966.4,1980.2,1960.7,160.73K,0.06%
31/08/2023,1956.6,1970.2,1974.9,1965.5,133.71K,-0.36%
30/08/2023,1963.7,1966,1977.1,1962.8,142.38K,0.90%
29/08/2023,1946.1,1929.7,1947.2,1923.1,7.52K,0.94%
28/08/2023,1927.9,1929.2,1935.1,1921.5,6.60K,0.34%
25/08/2023,1921.3,1926.2,1931.7,1912.7,7.61K,-0.37%
24/08/2023,1928.5,1927.5,1932.9,1920.9,6.64K,-0.07%
23/08/2023,1929.9,1909.1,1931.3,1909.1,9.51K,1.14%
22/08/2023,1908.1,1905.9,1915.2,1899.7,5.20K,0.16%
21/08/2023,1905.1,1900.1,1909.5,1895.3,6.05K,0.37%
18/08/2023,1898.1,1900.4,1907.4,1897.7,5.15K,0.07%
17/08/2023,1896.7,1904.5,1914.9,1895.9,6.12K,-0.69%
16/08/2023,1909.8,1914.5,1919.3,1903.7,4.90K,-0.35%
15/08/2023,1916.5,1920,1925.2,1909,4.16K,-0.45%
14/08/2023,1925.2,1926.8,1929.2,1915.8,5.67K,-0.13%
11/08/2023,1927.7,1925.9,1934.4,1924,4.67K,-0.12%
10/08/2023,1930,1930.2,1944.4,1925.8,6.73K,-0.08%
09/08/2023,1931.5,1939.7,1946.7,1928.4,5.19K,-0.46%
08/08/2023,1940.5,1951.7,1953.1,1937.3,6.30K,-0.51%
07/08/2023,1950.5,1958.6,1962,1946.9,3.17K,-0.31%
04/08/2023,1956.6,1950.2,1964.6,1936,5.38K,0.37%
03/08/2023,1949.4,1951.4,1955,1945,7.32K,-0.31%
02/08/2023,1955.5,1967.8,1972.4,1949.6,7.29K,-0.19%
01/08/2023,1959.2,1985.1,1985.1,1959,7.51K,-1.51%
31/07/2023,1989.3,1978,1991,1967.2,6.27K,0.47%
28/07/2023,1980,1965.9,1982,1964.5,12.41K,1.25%
27/07/2023,1955.5,1982.4,1991.8,1951.5,3.84K,-1.23%
26/07/2023,1979.9,1977,1989.4,1973.5,0.89K,0.33%
25/07/2023,1973.4,1966.7,1976.6,1962,0.38K,0.08%
24/07/2023,1971.9,1973.5,1978.9,1964.9,0.46K,-0.22%
21/07/2023,1976.2,1982.3,1984.2,1969.8,0.13K,-0.22%
20/07/2023,1980.5,1989.8,1998.4,1977.9,0.45K,-0.49%
19/07/2023,1990.3,1990.2,1993,1984.1,0.12K,0.00%
18/07/2023,1990.3,1967.9,1997.2,1967.9,0.50K,1.24%
17/07/2023,1966,1968.8,1972.9,1959.1,0.23K,-0.41%
14/07/2023,1974,1972.3,1977,1966.1,0.14K,0.03%
13/07/2023,1973.4,1972.1,1976.4,1967.3,0.18K,0.10%
12/07/2023,1971.4,1947.3,1973.9,1947.2,0.82K,1.27%
11/07/2023,1946.7,1942,1953.1,1941.3,0.15K,0.32%
10/07/2023,1940.4,1940,1941,1928.2,0.42K,-0.08%
07/07/2023,1941.9,1940.3,1949.1,1931.5,0.24K,0.89%
06/07/2023,1924.8,1932.8,1941.5,1918.4,1.41K,-0.60%
05/07/2023,1936.4,1943.2,1952.2,1936.2,0.09K,0.48%
04/07/2023,1927.1,1929.1,1942.9,1922.1,245.93K,-0.60%
03/07/2023,1938.7,1932.5,1943.1,1927.9,0.05K,0.02%
30/06/2023,1938.3,1923.3,1934,1923.3,0.02K,0.61%
29/06/2023,1926.6,1935.5,1940,1919.6,2.43K,0.23%
28/06/2023,1922.2,1923.1,1926.1,1911.4,162.49K,-0.08%
27/06/2023,1923.8,1932.7,1940.3,1919.8,180.44K,-0.52%
26/06/2023,1933.8,1936.3,1943.4,1931.1,147.77K,0.22%
23/06/2023,1929.6,1923.5,1949,1919.5,186.86K,0.31%
22/06/2023,1923.7,1943.3,1945.1,1922,171.78K,-1.09%
21/06/2023,1944.9,1948,1950.4,1929.3,182.02K,-0.14%
20/06/2023,1947.7,1970.7,1971.8,1940.8,250.14K,0.00%
19/06/2023,1947.7,1970.7,1971.8,1940.8,250.14K,-1.19%
16/06/2023,1971.2,1970.3,1980.4,1965.4,160.51K,0.03%
15/06/2023,1970.7,1955.7,1972.8,1936.1,266.35K,0.09%
14/06/2023,1968.9,1957.2,1973.9,1952.5,199.71K,0.53%
13/06/2023,1958.6,1971.4,1985.9,1953,198.40K,-0.56%
12/06/2023,1969.7,1975.6,1981.4,1963.1,122.54K,-0.38%
09/06/2023,1977.2,1980.5,1987.8,1971,130.41K,-0.07%
08/06/2023,1978.6,1956.2,1985.7,1955.2,191.84K,1.03%
07/06/2023,1958.4,1980,1986.5,1955.4,189.53K,-1.17%
